SN,Name
1,अजयमेरु गाउँपालिका
2,अजिरकोट गाउँपालिका
3,अदानचुली गाउँपालिका
4,अन्नपुर्ण गाउँपालिका
5,अन्नपूर्ण गाउँपालिका
6,अपिहिमाल गाउँपालिका
7,अमरगढी नगरपालिका
8,अरुण गाउँपालिका
9,अर्जुन चौपारी गाउँपालिका
10,अर्जुनधारा नगरपालिका
11,अर्नमा गाउँपालिका
12,आँधीखोला गाउँपालिका
13,आँबुखैरेनी गाउँपालिका
14,आठबिसकोट नगरपालिका
15,आठबीस नगरपालिका
16,आठराई  गाउँपालिका
17,आठराई त्रिवेणी गाउँपालिका
18,आदर्श कोटवाल गाउँपालिका
19,आदर्श गाउँपालिका
20,आमचोक गाउँपालिका
21,आरूघाट गाउँपालिका
22,आलिताल गाउँपालिका
23,इच्छाकामना गाउँपालिका
24,इलाम नगरपालिका
25,ईटहरी उपमहानगरपालिका
26,ईनरुवा नगरपालिका
27,ईन्द्र सरोवर गाउँपालिका
28,ईशनाथ गाउँपालिका
29,ईश्वरपुर नगरपालिका
30,ईस्मा गाउँपालिका
31,उत्तरगया गाउँपालिका
32,उदयपुरगढी गाउँपालिका
33,उमाकुण्ड गाउँपालिका
34,उर्लावारी नगरपालिका
35,ऋषिङ्ग गाउँपालिका
36,एकडारा गाउँपालिका
37,ऐरावती गाउँपालिका
38,ऐसेलुखर्क गाउँपालिका
39,ओमसतिया गाउँपालिका
40,औरही गाउँपालिका
41,औरही गाउँपालिका
42,औरही गाउँपालिका
43,कंचन गाउँपालिका
44,ककनी गाउँपालिका
45,कचनकवल गाउँपालिका
46,कञ्चनरुप नगरपालिका
47,कटहरिया गाउँपालिका
48,कटहरी गाउँपालिका
49,कटारी  नगरपालिका
50,कनकासुन्दरी गाउँपालिका
51,कन्काई नगरपालिका
52,कपिलवस्तु नगरपालिका
53,कपुरकोट गाउँपालिका
54,कमल गाउँपालिका
55,कमलबजार नगरपालिका
56,कमला सिद्दीदात्री गाउँपालिका
57,कमलामाई नगरपालिका
58,करैयामाई गाउँपालिका
59,कर्जन्हा गाउँपालिका
60,कलैया उपमहानगरपालिका
61,कल्याणपुर नगरपालिका
62,कविलासी गाउँपालिका
63,काँडा गाउँपालिका
64,काईके गाउँपालिका
65,कागेश्वरी मनोहरा नगरपालिका
66,काठमाण्डौ महानगरपालिका
67,काठेखोला गाउँपालिका
68,कानेपोखरी गाउँपालिका
69,कालिका गाउँपालिका
70,कालिका गाउँपालिका
71,कालिका नगरपालिका
72,कालिन्चोक  गाउँपालिका
73,कालीगण्डकी गाउँपालिका
74,कालीगण्डकी गाउँपालिका
75,कालीमाटी गाउँपालिका
76,कावासोती नगरपालिका
77,किर्तिपुर नगरपालिका
78,किस्पाङ गाउँपालिका
79,कुमाखमालिका गाउँपालिका
80,कुम्मायक गाउँपालिका
81,कुश्मा नगरपालिका
82,कुसे गाउँपालिका
83,कृष्णनगर नगरपालिका
84,कृष्णपुर नगरपालिका
85,कृष्णासवरन गाउँपालिका
86,के.आई.सिं. गाउँपालिका
87,केदारस्युँ गाउँपालिका
88,केपिलासगढी गाउँपालिका
89,केरावारी गाउँपालिका
90,कैलारी गाउँपालिका
91,कैलाश गाउँपालिका
92,कोटहीमाई गाउँपालिका
93,कोन्ज्योसोम गाउँपालिका
94,कोल्हवी नगरपालिका
95,कोशी गाउँपालिका
96,कोहलपुर नगरपालिका
97,क्व्होलासोथार गाउँपालिका
98,क्षिरेश्वरनाथ नगरपालिका
99,खजुरा गाउँपालिका
100,खडक नगरपालिका
101,खत्याड गाउँपालिका
102,खनियाबास गाउँपालिका
103,खप्तडछान्ना गाउँपालिका
104,खाँडाचक्र नगरपालिका
105,खाँडादेवी गाउँपालिका
106,खाँदवारी नगरपालिका
107,खानीखोला गाउँपालिका
108,खार्पुनाथ गाउँपालिका
109,खाल्सा छिन्ताङ सहीदभूमि गाउँपालिका
110,खिजिदेम्वा गाउँपालिका
111,खुम्वु पासाङल्हमु गाउँपालिका
112,खैरहनी नगरपालिका
113,खोटेहाङ गाउँपालिका
114,गङ्गाजमुना गाउँपालिका
115,गजुरी गाउँपालिका
116,गढवा गाउँपालिका
117,गढी गाउँपालिका
118,गढीमाई गाउँपालिका
119,गणेशमान चारनाथ नगरपालिका
120,गण्डकी गाउँपालिका
121,गन्यापधुरा गाउँपालिका
122,गरुडा नगरपालिका
123,गल्कोट नगरपालिका
124,गल्छी गाउँपालिका
125,गल्याङ नगरपालिका
126,गुजरा गाउँपालिका
127,गुठिचौर गाउँपालिका
128,गुराँस गाउँपालिका
129,गुर्भाकोट नगरपालिका
130,गुलरिया नगरपालिका
131,गुल्मीदरवार गाउँपालिका
132,गेरुवा गाउँपालिका
133,गैडहवा गाउँपालिका
134,गैडाकोट नगरपालिका
135,गोकर्णेश्वर नगरपालिका
136,गोकुलगङ्गा गाउँपालिका
137,गोडैटा नगरपालिका
138,गोदावरी नगरपालिका
139,गोदावरी नगरपालिका
140,गोरखा नगरपालिका
141,गोलन्जोर गाउँपालिका
142,गोलबजार नगरपालिका
